ID     wait time   service time
1       0.0           0.0181255386272946
2       0.007265521043235811           0.027651185502297948
3       0.0149164940490467           0.0038120149732783076
4       0.0076292079699262424           0.0431713177524367
5       0.0           0.014319017391290934
6       0.0           0.00920603884907406
7       0.0           0.01782596470669806
8       0.0           0.024089571156606704
9       0.0           0.01359747427802993
10       0.0           0.0043637246757713966
11       0.0           0.007215140918183316
12       0.0           0.005574185341957305
13       0.0           0.05068027183379731
14       0.04369043682682894           0.01509446704737738
15       0.0           0.006843146904888853
16       0.0           0.001834154221060702
17       0.0           0.013614602398514641
18       0.0           0.0018721961150829358
19       0.0           0.0035015341336941397
20       0.0           0.02016152381402181
21       0.0           0.00039364250242401866
22       0.0           0.0012881633314099084
23       0.0           0.00018948992385903196
24       0.0           0.008996693274148981
25       0.0           0.00804518777861718
26       0.0           0.001292095644945146
27       0.0           0.003635404122557251
28       0.0           0.025865269887474174
29       0.0           0.0037691029221624817
30       0.0           0.025190690350291867
31       0.013799926265066098           0.008468003598598894
32       0.013325042458691705           0.016323088101456218
33       0.029623745326954776           0.0075324915666739045
34       0.0           0.0012173620979787358
35       0.0           0.012760935435585097
36       0.0           0.03050481993973797
37       0.0           0.0022186433967625874
38       0.0           0.0008838244254043559
39       0.0           0.010680239587555818
40       0.0           0.0020090077816492524
41       0.0           5.7405138003119305e-06
42       0.0           0.042129374239584294
43       0.0           0.01730986747014107
44       0.0           0.03410970072954189
45       0.0           0.0014154219656417055
46       0.0           0.0037252692405065346
47       0.0           0.020260667634113716
48       0.0           0.03745379666898074
49       0.0           0.01749641148394243
50       0.0           0.04400848588861539
51       0.0           0.002380936119327437
52       0.0           0.010194586444503884
53       0.0           0.0003262010561311257
54       0.0           0.013565256571141937
55       0.0           0.015294904396103703
56       0.0           0.03323176714548204
57       0.0           0.008349586927013597
58       0.0           0.018216937165872693
59       0.017267842030253888           0.008325727279833828
60       0.0           0.02310015875286986
61       0.00026708050986634646           0.006503097045577277
62       0.0           0.005064671932841769
63       0.0           0.0010097352030378204
64       0.0           0.014906665283287879
65       0.0           0.0006556831012085595
66       0.0           0.014780145206025885
67       0.0           0.006571952965855665
68       0.0           0.004699159654526497
69       0.0           0.008097715177262543
70       0.00013281582124236024           0.027693146086337883
71       0.0           0.0048325712333738835
72       0.0           0.008464688610576587
73       0.0           0.005886832240238782
74       0.0           0.018032760954901583
75       0.0           0.024990309660788412
76       0.0           0.0006109252724542102
77       0.0           0.012276572068816272
78       0.001012508887171748           0.014902358595361598
79       0.0           0.02658139213928923
80       0.0           0.0004919729852028709
81       0.0           0.06945360802789047
82       0.03190447080775538           0.002983466764050924
83       0.0           0.001675771086040001
84       0.0           0.056551737382933176
85       0.0           0.041504144535299936
86       0.0           0.001464684509731029
87       0.0           0.012710645960758882
88       0.0           0.003738617809055711
89       0.0           0.0057754081099030685
90       0.0           0.0012016634707059382
91       0.0           0.016660215220660746
92       0.0           0.005113830174041212
93       0.0           0.0016039419480904371
94       0.0           0.04518873551225866
95       0.011038887270066411           0.01679716246697005
96       0.0           0.0032644202650651266
97       0.0           0.006063398649352791
98       0.0           0.0035866861311468767
99       0.0           0.009530160499732432
100       0.0012242617501279085           0.005051499132784798
