Gene.symbol	Gene.ID	adj.P.Val	logFC
HIST1H4J///HIST1H4K///HIST1H4J///HIST1H4K	8363///8362///8363///8362	2.72304735376522e-38	2.47188126361702
SMC4	10051	4.05820848247789e-38	1.72547853056428
WHSC1	7468	5.09199847194824e-38	2.0088959478373
IGFLR1	79713	5.55100373191684e-38	-1.77195311424102
KIF18A	81930	6.16109480910435e-38	2.95478570187377
GMNN	51053	6.33451695975936e-38	2.74708718089755
LRP8	7804	7.39523829362498e-38	2.02859790268693
HIST2H3D///HIST2H3A///HIST2H3C	653604///333932///126961	7.46473388980204e-38	2.97430705776703
CKS1B	1163	9.7638465633882e-38	2.9497499953617
TPK1	27010	1.14974278210746e-37	-2.36446199018291
ZBTB38	253461	1.2609226268938e-37	-3.33807382358716
HNRNPAB	3182	1.28892535012078e-37	1.7755069133306
TROAP	10024	1.43039765101467e-37	2.3122804795986
CENPO	79172	1.90831032258676e-37	2.39355786021008
CENPE	1062	1.93745871862089e-37	3.05695906360504
CCNB1	891	3.1432279141698e-37	4.25467620942536
ATAD5	79915	5.01641954824595e-37	2.51356187278438
HMGB3	3149	5.2638732765473e-37	2.11579122992974
GTSE1	51512	7.52677177070289e-37	2.78995070504058
NREP	9315	9.58469630766036e-37	3.57050078782585
IDH2	3418	9.85649989941476e-37	1.62126446393384
HDAC2	3066	1.27922984400989e-36	1.3010853359097
DHFR	1719	1.35538902450663e-36	2.48369304001306
AURKB	9212	1.74740397543972e-36	2.29561902584033
ZNF367	195828	1.77275200576684e-36	1.92857159933596
KNTC1	9735	1.87778671071718e-36	2.42037795027141
WDHD1	11169	1.95732230409075e-36	3.38307689191168
TTC9	23508	2.45438643599291e-36	-1.59020599929072
CLSPN	63967	2.91487192008532e-36	3.01988823053335
CDK2	1017	3.04163735118214e-36	2.22019803976328
BIRC5	332	3.14604905361651e-36	2.86006784715234
NCAPG2	54892	3.1771707641713e-36	3.26485729640569
NEK2	4751	4.08649588892368e-36	2.83914214509727
RRM1	6240	5.2326922420462e-36	2.73871400208296
SMARCA4	6597	6.29382378401302e-36	1.53561522234883
DNA2	1763	8.57890740849521e-36	2.78573319569033
PLK1	5347	8.89476451380136e-36	3.35892096486769
PXMP2	5827	8.95631765680275e-36	1.86207985169337
RASSF3	283349	1.85132446766509e-35	-2.57122597202199
E2F7	144455	2.14139785078732e-35	3.27905019534347
RACGAP1	29127	2.17167169163166e-35	2.50554094735867
GINS3	64785	2.79747490347468e-35	2.6813304790894
CCDC88A	55704	3.10271884898186e-35	2.59939816485035
HDGF	3068	3.37308310347667e-35	1.36386867198355
FAM72A///FAM72D///FAM72B	729533///728833///653820	4.45270287047998e-35	3.82870580789826
SMC2	10592	6.43978868382134e-35	2.99704701314768
SHCBP1	79801	6.82730666017872e-35	3.80159559084176
CENPW	387103	7.00106720595885e-35	2.99294946348399
KIAA1524	57650	7.50807548394903e-35	2.7687412280211
MYBL2	4605	7.72902132723688e-35	3.0272712299267
DSCC1	79075	8.27664547636485e-35	3.19379064684409
HACD1	9200	8.30265624459603e-35	2.91191776958734
RFWD3	55159	1.05889035418208e-34	1.52849478077901
VNN2	8875	1.45522927883639e-34	-4.56347529958484
CTPS1	1503	2.13289760942501e-34	2.86557693973431
CENPM	79019	2.50650502025042e-34	1.98620856537189
HMMR	3161	3.2522159051881e-34	3.32732714608493
CDCA8	55143	3.26408735522087e-34	2.45830432239031
JUNB	3726	3.59425833333099e-34	-3.05029523399017
SLAMF7	57823	4.21198223384991e-34	-3.27828087037851
ORC6	23594	5.28016690082779e-34	2.92091394346987
H2AFX	3014	7.2402292257894e-34	1.36862706983765
CAPRIN1	4076	7.52168243143974e-34	1.02760324348775
MCM7	4176	8.17509945079862e-34	1.951506145199
ARHGAP11B	89839	9.23612535881921e-34	2.97465340269784
UBE2T	29089	1.40472462751764e-33	3.27652643418255
CDC20	991	2.23966638701248e-33	2.96325126023279
OIP5	11339	2.26638507725009e-33	2.4701136596619
C4orf46	201725	2.6796657508786e-33	2.43526386744663
CDCA3	83461	2.83690757677761e-33	2.26301417191275
MCM6	4175	3.03675151682307e-33	3.42789510702503
BARD1	580	3.03675151682307e-33	2.22710607441534
PSMA6	5687	4.23703042329721e-33	1.93353869779277
TK1	7083	4.83435666595918e-33	2.24918478814464
RFC3	5983	4.91300291639724e-33	2.41397528817933
DPEP2	64174	5.13761990985185e-33	-2.55562213841838
CDC42SE1	56882	7.95247889315328e-33	-2.19663516972948
CENPP	401541	8.45248705233119e-33	1.65571740774611
GSG2	83903	9.15070415300215e-33	2.07304773499088
CKS2	1164	9.2520244351817e-33	2.74877343214661
SGO2	151246	9.46224674049054e-33	2.48591154916074
SUV39H2	79723	1.29651674164679e-32	2.41981081961792
TAGAP	117289	1.51404807553757e-32	-3.89670528830824
CDCA4	55038	1.51679662133571e-32	1.55512470554228
LINC00324	284029	1.87384067415735e-32	-1.65349048495119
LMNB2	84823	1.93083465618912e-32	1.70731366350241
CTNNAL1	8727	2.04999773403232e-32	2.46502810209691
